3 17 36 66 80
21 49 53 59 79
4 6 15 32 83
11 15 16 42 48
6 50 57 65 76
20 42 61 63 81
30 33 36 66 87
13 25 33 37 90
21 47 52 72 90
4 11 14 40 44
27 50 73 74 84
11 21 22 31 73
4 8 10 55 66
9 40 57 70 90
1 25 35 43 49
41 54 64 81 83
2 30 41 45 88
9 53 57 70 72
3 15 40 46 55
12 24 33 75 90
16 19 31 41 61
14 36 38 45 55
4 19 30 58 71
12 22 26 27 31
7 27 30 34 68
1 36 42 57 79
11 35 44 47 77
30 45 56 62 71
49 51 54 62 83
12 19 20 34 36
24 38 50 75 76
18 41 42 48 52
5 17 31 61 68
12 19 32 47 59
15 31 60 67 76
7 10 33 34 78
7 15 19 33 71
3 16 21 43 60
12 22 24 49 65
18 33 36 48 60
1 7 39 40 58
4 8 12 40 44
2 3 22 42 55
15 35 37 46 72
16 30 32 58 79
5 21 32 38 81
4 18 39 41 54
8 27 60 71 75
5 20 37 75 78
5 39 51 83 84
2 4 43 53 70
